filter_column,drop_column,keep_column
74,98,76
53,30,48
43,93,23
81,15,59
61,58,90
48,91,67
91,32,51
59,98,29
23,53,26
53,4,37
8,30,88
61,23,36
96,33,84
82,100,51
39,73,41
90,94,95
70,5,100
18,43,38
78,100,81
63,49,11
77,21,4
83,68,77
46,72,27
5,40,39
72,57,2
45,94,54
32,0,73
2,66,83
9,11,55
96,79,50
84,4,49
27,98,8
15,44,65
23,12,59
61,25,10
93,41,74
78,93,70
90,24,38
51,49,95
52,61,36
37,13,7
41,64,100
16,76,33
96,64,13
14,42,30
35,45,12
89,9,79
73,5,91
87,93,37
60,62,66
85,84,52
20,87,12
19,55,96
45,5,13
66,89,38
6,78,77
73,56,94
14,11,45
95,27,99
23,38,88
77,39,13
41,49,59
79,74,86
92,23,29
61,46,54
12,43,84
86,35,100
68,67,25
87,30,12
25,56,68
7,0,56
1,96,77
83,36,76
31,84,46
63,72,30
40,15,6
75,18,38
38,82,87
78,13,72
54,75,42
23,32,55
45,56,27
90,68,48
52,90,46
98,20,30
82,35,45
32,73,54
79,51,61
65,57,29
85,99,43
51,88,25
48,18,31
25,19,48
49,47,22
1,55,68
15,21,91
80,19,37
21,63,86
15,95,80
28,46,9
