filter_column,drop_column,keep_column
29,99,2
86,23,63
90,87,64
12,35,7
54,65,29
0,87,82
37,4,98
9,89,76
98,94,41
43,65,13
44,56,89
61,41,32
15,16,68
50,94,45
44,100,96
64,82,51
27,5,23
91,37,35
53,86,69
52,72,48
4,62,65
67,97,18
16,87,97
66,60,18
81,3,37
18,66,44
58,25,45
25,79,12
12,8,12
31,20,21
87,1,28
96,51,68
47,44,99
90,89,8
67,86,41
77,89,90
68,90,52
97,96,55
39,21,60
77,6,21
83,41,39
92,8,3
73,42,96
52,40,32
19,44,76
27,62,54
91,83,46
48,85,27
55,85,18
97,82,43
63,34,39
7,26,29
14,85,26
35,2,82
33,79,8
85,6,19
86,91,20
54,85,35
51,60,57
2,76,72
14,71,64
69,62,45
66,38,68
96,84,34
84,72,98
5,24,54
20,82,44
4,44,35
18,95,88
83,16,53
27,18,20
75,99,28
74,37,48
92,95,34
55,27,34
74,69,29
28,99,30
14,76,70
40,91,24
54,74,55
26,30,14
24,34,21
66,56,69
2,67,88
54,3,28
18,28,44
69,18,92
29,67,44
100,68,94
59,50,99
52,48,50
22,46,98
32,85,16
81,26,58
30,66,48
99,41,15
36,15,12
76,61,15
20,6,52
29,26,61
