key,supplementary_value
key_0,0.9443632098512478
key_1,0.8551158682074587
key_2,0.2328509448636995
key_3,0.5532259833504696
key_4,0.9300412944985319
key_5,0.9627126089785629
key_6,0.8288847570121729
key_7,0.38925558126210213
key_8,0.553093214640837
key_9,0.5757993383116706
key_10,0.4394061723870104
key_11,0.6229435877893774
key_12,0.7876834931828847
key_13,0.7828969256060192
key_14,0.08446677508194522
key_15,0.21153661821573777
key_16,0.3149891101779928
key_17,0.9491867603873502
key_18,0.28646776668980534
key_19,0.24421380596558884
key_20,0.8541324043797744
key_21,0.12111230249568627
key_22,0.9598149658429818
key_23,0.6577030415955792
key_24,0.09089781842672462
key_25,0.6935331009696121
key_26,0.4813787030521315
key_27,0.4744779325524977
key_28,0.8339217928559713
key_29,0.6584531904804147
key_30,0.202826731977921
key_31,0.08516410401290753
key_32,0.9218251763495992
key_33,0.5685285594731888
key_34,0.19530927885407856
key_35,0.35916435894479437
key_36,0.4810156060484144
key_37,0.24341319737804
key_38,0.963444251966792
key_39,0.9333893994640688
key_40,0.01344848447641811
key_41,0.8368684356219873
key_42,0.6413254616276063
key_43,0.885150740778753
key_44,0.8343952753395851
key_45,0.66367956534695
key_46,0.16503972354394691
key_47,0.4597816152722899
key_48,0.725024620620905
key_49,0.8941295680379159
key_50,0.2338300384195
key_51,0.09513628156336862
key_52,0.3503194436517646
key_53,0.5991546971079872
key_54,0.13329556691485667
key_55,0.9513106324292271
key_56,0.5305375884130866
key_57,0.4953551235527327
key_58,0.16257155641032783
key_59,0.6488453087406642
key_60,0.9262538560750818
key_61,0.17172689396173524
key_62,0.621770236605663
key_63,0.13183601436544845
key_64,0.6471206439750947
key_65,0.02753475725471377
key_66,0.6524735780313302
key_67,0.9823318942778957
key_68,0.7604792629899554
key_69,0.9964653279182742
key_70,0.7080419747172653
key_71,0.3166932599276635
key_72,0.6720621993850814
key_73,0.2907944181603437
key_74,0.5197603493518415
key_75,0.5404234296468531
key_76,0.9413510216892716
key_77,0.7181406440092243
key_78,0.19416592880599914
key_79,0.9491064063764362
key_80,0.2544703345012882
key_81,0.06311772022589712
key_82,0.14580460214061086
key_83,0.3128867322485154
key_84,0.017671222932176156
key_85,0.18412523498668887
key_86,0.9257757687339513
key_87,0.7236540567814336
key_88,0.7022353127669886
key_89,0.3033892740060363
key_90,0.6535162030690148
key_91,0.1864093227757867
key_92,0.14834256795541045
key_93,0.45779796342255497
key_94,0.3405972394679089
key_95,0.3323835426248023
key_96,0.31890636603037414
key_97,0.9106042418220368
key_98,0.8960539212944243
key_99,0.4089591466320621
