filter_column,drop_column,keep_column
94,94,79
21,87,34
43,52,83
19,42,84
35,29,42
50,61,70
81,7,65
10,98,27
48,23,66
92,24,27
48,56,73
44,64,19
49,61,85
58,12,78
99,9,75
8,0,49
35,17,35
42,71,62
21,59,82
32,76,52
30,95,7
55,91,99
68,21,84
60,65,61
21,95,99
29,47,67
3,97,99
9,82,17
9,25,5
44,63,18
47,97,52
45,57,3
5,99,39
23,71,1
5,41,72
27,30,14
10,94,62
35,20,9
64,11,50
17,52,49
79,4,18
31,26,88
63,99,1
25,77,50
91,49,1
13,8,17
21,3,94
47,4,28
2,51,25
0,91,74
78,56,85
9,27,90
87,39,73
69,46,13
10,75,34
83,13,86
13,85,21
22,25,80
37,75,21
24,58,61
22,88,45
10,98,50
37,100,43
44,25,47
58,69,88
0,81,55
2,35,57
19,28,63
20,92,36
12,51,3
86,33,89
2,94,91
33,21,17
17,63,90
71,4,34
18,56,23
45,10,9
61,51,22
11,29,92
18,81,68
4,6,28
11,38,11
18,90,76
27,46,100
77,94,13
63,85,95
20,69,84
57,41,47
61,12,84
43,20,24
38,84,12
73,79,46
95,63,75
90,3,9
87,44,72
5,41,71
75,17,74
77,82,99
67,8,88
96,96,80
